Time,Force,Rotation,Torque
(s),(mN),(deg),(N-mm)
53.045,1262.7147,27.6436,-31.3784
53.095,1259.4609,27.7433,-31.5158
53.145,1252.6962,27.8432,-31.6583
53.195,1268.7306,27.943,-31.7139
53.245,1251.6125,28.043,-31.944
53.295,1258.563,28.1432,-31.9291
53.345,1258.6491,28.2431,-32.1106
53.395,1249.5507,28.343,-32.2412
53.445,1260.1291,28.4431,-32.3187
53.495,1251.6258,28.5432,-32.5697
53.545,1249.8287,28.6432,-32.6539
53.595,1259.3359,28.7424,-32.6782
53.645,1245.9702,28.843,-32.9077
53.695,1253.6646,28.9432,-32.9456
53.745,1253.1296,29.043,-33.0665
53.795,1249.8076,29.1432,-33.1381
53.845,1260.5516,29.2431,-33.3956
53.895,1247.4929,29.3432,-33.4127
53.945,1248.6415,29.4437,-33.6342
53.995,1251.0635,29.5431,-33.681
54.045,1246.085,29.6429,-33.8931
54.095,1254.2816,29.7432,-33.9273
54.145,1245.4535,29.8431,-34.0678
54.195,1245.989,29.943,-34.1843
54.245,1252.3028,30.0431,-34.338
54.295,1240.6347,30.1432,-34.3783
54.335,1254.6747,30.2232,-34.3739
54.336,1254.6831,30.2252,-34.3758
78.716,1393.1531,0.5742,-2.415
78.766,1387.3678,0.5742,-2.4998
78.816,1385.3003,0.591,-2.4904
78.866,1395.6194,0.7327,-2.6027
78.916,1379.625,0.8347,-2.7711
78.966,1389.5595,0.934,-2.8229
79.016,1386.2206,1.034,-3.0066
79.066,1379.9522,1.1342,-3.0973
79.116,1390.8138,1.234,-3.2321
79.166,1382.2778,1.334,-3.3775
79.216,1379.1213,1.434,-3.3531
79.266,1379.1298,1.534,-3.5424
79.316,1374.7721,1.6341,-3.6064
79.366,1391.7614,1.7341,-3.753
79.416,1378.0047,1.8336,-3.7841
79.466,1373.5393,1.934,-4.0306
79.516,1384.7624,2.0339,-4.0295
79.566,1372.5084,2.1338,-4.1496
79.616,1381.624,2.2338,-4.3239
79.666,1373.3597,2.3341,-4.4453
79.716,1371.9926,2.4343,-4.477
79.766,1382.4809,2.5339,-4.5337
79.816,1373.041,2.634,-4.6544
79.866,1381.7148,2.7341,-4.8202
79.916,1375.1425,2.8338,-4.9779
79.966,1367.8474,2.9341,-5.062
80.016,1379.4186,3.0341,-5.1074
80.066,1368.4494,3.1336,-5.3026
80.116,1371.9648,3.2341,-5.4836
80.166,1378.6372,3.3341,-5.5059
80.216,1361.3364,3.4338,-5.6342
80.266,1378.0174,3.5335,-5.7641
80.316,1371.1417,3.6335,-5.8249
80.366,1366.8456,3.7337,-5.9025
80.416,1375.8286,3.8337,-6.0115
80.466,1364.0169,3.9338,-6.2469
80.516,1369.7528,4.0338,-6.2207
80.566,1364.4269,4.1339,-6.333
80.616,1364.9518,4.2342,-6.5373
80.666,1372.0871,4.334,-6.56
80.716,1360.3194,4.4339,-6.6611
80.766,1363.6825,4.5337,-6.7739
80.816,1368.0235,4.6336,-6.9072
80.866,1353.8895,4.7334,-7.0703
80.916,1369.7829,4.8339,-7.1527
80.966,1358.8963,4.9335,-7.1884
81.016,1359.4308,5.0336,-7.3576
81.066,1359.212,5.1338,-7.3703
81.116,1352.1748,5.2334,-7.5253
81.166,1363.5198,5.3335,-7.649
81.216,1354.0499,5.4332,-7.8388
81.266,1349.8594,5.5333,-7.8772
81.316,1362.4203,5.6338,-8.0316
81.366,1349.5424,5.7335,-8.1102
81.416,1356.9772,5.8335,-8.2139
81.466,1355.0279,5.9336,-8.3328
81.516,1347.5502,6.0339,-8.3871
81.566,1355.9836,6.1336,-8.4794
81.616,1339.1162,6.2337,-8.4923
81.666,1340.6193,6.3334,-8.6518
81.716,1341.247,6.4335,-8.789
81.766,1334.3924,6.5334,-8.8697
